"filename", "language", "JSON with Comments", "TypeScript", "JSON", "JavaScript", "Notes", "TypeScript JSX", "Markdown", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\Jayce\Desktop\amazon\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 19, 52
"c:\Users\Jayce\Desktop\amazon\app\(home)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\Jayce\Desktop\amazon\app\(home)\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 13, 100
"c:\Users\Jayce\Desktop\amazon\app\(root)\product\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 111, 0, 0, 0, 3, 12, 126
"c:\Users\Jayce\Desktop\amazon\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 7, 87
"c:\Users\Jayce\Desktop\amazon\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 5, 39
"c:\Users\Jayce\Desktop\amazon\components.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\Jayce\Desktop\amazon\components\shared\footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 4, 38
"c:\Users\Jayce\Desktop\amazon\components\shared\header\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 59, 0, 0, 0, 2, 6, 67
"c:\Users\Jayce\Desktop\amazon\components\shared\header\menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\Jayce\Desktop\amazon\components\shared\header\search.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 56, 0, 0, 0, 1, 6, 63
"c:\Users\Jayce\Desktop\amazon\components\shared\home\home-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 54, 0, 0, 0, 1, 3, 58
"c:\Users\Jayce\Desktop\amazon\components\shared\home\home-carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 4, 68
